content,score,at,thumbsUpCount,source,app_name,text,clean_text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_label,cluster_id,topic_category
"This app is great for organization and just whatever you need written down. My only complaint is the gap in the lines when you start writing below writing, it doesn't matter but I wish I could change it like I can on computer, and the fact you can't put a ' at the end of things or when you continue typing it deletes the word, I need to write names with 's at the end.. I'd like to add on, the AI features absolutely disgust me. I appreciate they don't pop up unwarranted, but it's still upsetting..",4,2026-02-27 03:17:37,16,play_store,Notion,"This app is great for organization and just whatever you need written down. My only complaint is the gap in the lines when you start writing below writing, it doesn't matter but I wish I could change it like I can on computer, and the fact you can't put a ' at the end of things or when you continue typing it deletes the word, I need to write names with 's at the end.. I'd like to add on, the AI features absolutely disgust me. I appreciate they don't pop up unwarranted, but it's still upsetting..",this app is great for organization and just whatever you need written down my only complaint is the gap in the lines when you start writing below writing it doesn't matter but i wish i could change it like i can on computer and the fact you can't put a ' at the end of things or when you continue typing it deletes the word i need to write names with 's at the end i'd like to add on the ai features absolutely disgust me i appreciate they don't pop up unwarranted but it's still upsetting,0.5534,0.138,0.108,positive,1,Features
"This was a fantastic app and superior alternative to most writing docs until the AI rebrand. And, sure, everything has an AI feature nowadays– that which you don't have to use if you don't wish to. But Notion in particular seems insistent on shoving it down their users throats (for lack of a better term)... Basically, it's far too annoying to put up with. And with no obligation to, I will be searching for a better place to keep my work.",1,2025-09-28 00:42:54,287,play_store,Notion,"This was a fantastic app and superior alternative to most writing docs until the AI rebrand. And, sure, everything has an AI feature nowadays– that which you don't have to use if you don't wish to. But Notion in particular seems insistent on shoving it down their users throats (for lack of a better term)... Basically, it's far too annoying to put up with. And with no obligation to, I will be searching for a better place to keep my work.",this was a fantastic app and superior alternative to most writing docs until the ai rebrand and sure everything has an ai feature nowadays that which you don't have to use if you don't wish to but notion in particular seems insistent on shoving it down their users throats for lack of a better term basically it's far too annoying to put up with and with no obligation to i will be searching for a better place to keep my work,0.4536,0.144,0.113,positive,5,Features
"It's great but some thing could be improved. One big example is my chart in notion where I document products, it doesn't let me scroll down the text box to see what I wrote after reaching the a certain word count. so at that point i'm just blindly typing in words and I can't see a single thing until I click out of the text box. To clarify I use notion mainly on my android which I admit is kind of inconvenient since it's mainly used for desktop.",4,2026-03-20 05:52:11,5,play_store,Notion,"It's great but some thing could be improved. One big example is my chart in notion where I document products, it doesn't let me scroll down the text box to see what I wrote after reaching the a certain word count. so at that point i'm just blindly typing in words and I can't see a single thing until I click out of the text box. To clarify I use notion mainly on my android which I admit is kind of inconvenient since it's mainly used for desktop.",it's great but some thing could be improved one big example is my chart in notion where i document products it doesn't let me scroll down the text box to see what i wrote after reaching the a certain word count so at that point i'm just blindly typing in words and i can't see a single thing until i click out of the text box to clarify i use notion mainly on my android which i admit is kind of inconvenient since it's mainly used for desktop,0.8485,0.138,0.036,positive,1,Features
"Wish the mobile UI was better. In a database with a Notes column, the notes will spill off of the screen behind the keyboard if it's long enough. Will be typing where I can't see it, behind the keyboard. I have to hold the shift button (on my keyboard on mobile) to make a bunch of empty lines beneath to move the text to where I can see it, & it's finicky because sometimes it'll take enter as me wanting to exit the note. Inserting a hyperlink is also a hassle. But 500 character limit :(",4,2026-03-19 18:40:54,5,play_store,Notion,"Wish the mobile UI was better. In a database with a Notes column, the notes will spill off of the screen behind the keyboard if it's long enough. Will be typing where I can't see it, behind the keyboard. I have to hold the shift button (on my keyboard on mobile) to make a bunch of empty lines beneath to move the text to where I can see it, & it's finicky because sometimes it'll take enter as me wanting to exit the note. Inserting a hyperlink is also a hassle. But 500 character limit :(",wish the mobile ui was better in a database with a notes column the notes will spill off of the screen behind the keyboard if it's long enough will be typing where i can't see it behind the keyboard i have to hold the shift button on my keyboard on mobile to make a bunch of empty lines beneath to move the text to where i can see it it's finicky because sometimes it'll take enter as me wanting to exit the note inserting a hyperlink is also a hassle but 500 character limit,0.34,0.04,0.015,positive,4,Other
"The app version is horrible. I love using Notion for my phone, desktop, and chromebook. *The chromebook version is horrible.* I can never navigate through my main menu. It automatically goes to the most recent page I was working on. The app works just fine in my phone and desktop. But for some reason, it does not work on the chrome book. Also, when I make edits through Chromebook, with my writings, it would automatically deletes the whole section if I press back space. It's awful :(",3,2026-02-16 11:55:56,0,play_store,Notion,"The app version is horrible. I love using Notion for my phone, desktop, and chromebook. *The chromebook version is horrible.* I can never navigate through my main menu. It automatically goes to the most recent page I was working on. The app works just fine in my phone and desktop. But for some reason, it does not work on the chrome book. Also, when I make edits through Chromebook, with my writings, it would automatically deletes the whole section if I press back space. It's awful :(",the app version is horrible i love using notion for my phone desktop and chromebook the chromebook version is horrible i can never navigate through my main menu it automatically goes to the most recent page i was working on the app works just fine in my phone and desktop but for some reason it does not work on the chrome book also when i make edits through chromebook with my writings it would automatically deletes the whole section if i press back space it's awful,-0.6705,0.043,0.091,negative,0,Other
"it's good in every other way, besides the intrusive ai, can't you at least put it in a different section or have people to toggle it off? I don't like how it's on the bottom like that. I see no point in it and you can't even message it too much anyways, only useful for those who pay. but the app is good regardless, it gets some getting used too but easy once you understand how the controls work.",1,2026-03-22 10:03:52,4,play_store,Notion,"it's good in every other way, besides the intrusive ai, can't you at least put it in a different section or have people to toggle it off? I don't like how it's on the bottom like that. I see no point in it and you can't even message it too much anyways, only useful for those who pay. but the app is good regardless, it gets some getting used too but easy once you understand how the controls work.",it's good in every other way besides the intrusive ai can't you at least put it in a different section or have people to toggle it off i don't like how it's on the bottom like that i see no point in it and you can't even message it too much anyways only useful for those who pay but the app is good regardless it gets some getting used too but easy once you understand how the controls work,0.8749,0.15,0.049,positive,5,Features
"Notion helps me manage every detail of my personal and professional life. It has simplified the process of tracking & accessing everything from my recipes and shopping lists to working on team projects with colleagues. Notion also saved me a lot of money & time as I had previously slugged along with disjointed tools. As I discovered the power of Notion, I was able to cancel subscriptions to Trello, Todoist, Evernote, & other apps. It's a game-changer. Not sure how I ever lived without it!",5,2026-01-28 11:31:35,41,play_store,Notion,"Notion helps me manage every detail of my personal and professional life. It has simplified the process of tracking & accessing everything from my recipes and shopping lists to working on team projects with colleagues. Notion also saved me a lot of money & time as I had previously slugged along with disjointed tools. As I discovered the power of Notion, I was able to cancel subscriptions to Trello, Todoist, Evernote, & other apps. It's a game-changer. Not sure how I ever lived without it!",notion helps me manage every detail of my personal and professional life it has simplified the process of tracking accessing everything from my recipes and shopping lists to working on team projects with colleagues notion also saved me a lot of money time as i had previously slugged along with disjointed tools as i discovered the power of notion i was able to cancel subscriptions to trello todoist evernote other apps it's a game-changer not sure how i ever lived without it,0.0356,0.061,0.071,neutral,0,Other
"Images aren't showing up in the app on saved notes or new notes on the Samsung S26. Everything works fine on my old phone, just not the new one. Emailed the developers and you end up with a response from their A.I. help desk. Apparently you can't talk to a real person. Now I'm stuck finding a new note app and having to add all of the notes from Notion to a new note app. Very disappointing because I really liked this app.",1,2026-03-19 05:59:00,4,play_store,Notion,"Images aren't showing up in the app on saved notes or new notes on the Samsung S26. Everything works fine on my old phone, just not the new one. Emailed the developers and you end up with a response from their A.I. help desk. Apparently you can't talk to a real person. Now I'm stuck finding a new note app and having to add all of the notes from Notion to a new note app. Very disappointing because I really liked this app.",images aren't showing up in the app on saved notes or new notes on the samsung s26 everything works fine on my old phone just not the new one emailed the developers and you end up with a response from their a i help desk apparently you can't talk to a real person now i'm stuck finding a new note app and having to add all of the notes from notion to a new note app very disappointing because i really liked this app,0.5994,0.111,0.059,positive,3,Bugs & crashes
"The many free templates are a godsend. I use Assignment Tracker and absolutely love it. It's a bit much to learn but over time, you'll become familiar with how to make your own templates. It has really helped me keep track with college. Between this app and 'Structured' (seperate app), it's been so easy to plan when my assignments are due, how urgent, and when I want to work on them. Again, it's a bit confusing to learn and manipulate, but the templates are the real money shots here.",5,2026-02-15 08:32:09,33,play_store,Notion,"The many free templates are a godsend. I use Assignment Tracker and absolutely love it. It's a bit much to learn but over time, you'll become familiar with how to make your own templates. It has really helped me keep track with college. Between this app and 'Structured' (seperate app), it's been so easy to plan when my assignments are due, how urgent, and when I want to work on them. Again, it's a bit confusing to learn and manipulate, but the templates are the real money shots here.",the many free templates are a godsend i use assignment tracker and absolutely love it it's a bit much to learn but over time you'll become familiar with how to make your own templates it has really helped me keep track with college between this app and 'structured' seperate app it's been so easy to plan when my assignments are due how urgent and when i want to work on them again it's a bit confusing to learn and manipulate but the templates are the real money shots here,0.9137,0.16,0.023,positive,2,UX & design
"really solid notes app, perfect for story writing and keeping track of OC lore and such. my main problem is the fact that it is literally impossible to single space lines on mobile. it double spaces by default and there's no way to have it not do that. also, if you tab out for a second to, say, look something up, when you go back to the app, the keyboard doesn't stay if you had it up, which on its own isn't a huge issue, but it also disables bold, italics, etc if you hadn't started typing yet.",4,2026-01-04 09:53:45,31,play_store,Notion,"really solid notes app, perfect for story writing and keeping track of OC lore and such. my main problem is the fact that it is literally impossible to single space lines on mobile. it double spaces by default and there's no way to have it not do that. also, if you tab out for a second to, say, look something up, when you go back to the app, the keyboard doesn't stay if you had it up, which on its own isn't a huge issue, but it also disables bold, italics, etc if you hadn't started typing yet.",really solid notes app perfect for story writing and keeping track of oc lore and such my main problem is the fact that it is literally impossible to single space lines on mobile it double spaces by default and there's no way to have it not do that also if you tab out for a second to say look something up when you go back to the app the keyboard doesn't stay if you had it up which on its own isn't a huge issue but it also disables bold italics etc if you hadn't started typing yet,0.5049,0.069,0.047,positive,1,Features
